choicepair,A1_prob,A1_payoff,A2_prob,A2_payoff,B1_prob,B1_payoff,B2_prob,B2_payoff,,A,first option
95,0.97,-58,0.03,-65,0.18,-52,0.82,-74,,,
96,0.99,-96,0.01,-2,0.47,-90,0.53,-66,,,
97,0.59,-85,0.41,-7,0.52,-9,0.48,-73,,,
98,0.56,-58,0.44,-80,0.86,-58,0.14,-97,,,
99,0.65,-72,0.35,-8,0.25,-90,0.75,-39,,,
100,0.59,-41,0.41,-57,0.42,-51,0.58,-30,,,
101,0.63,-96,0.37,-38,0.17,-12,0.83,-69,,,
102,0.04,-98,0.96,-25,0.4,-78,0.6,-22,,,
103,0.5,-21,0.5,-77,0.39,-77,0.61,-75,,,
104,0.79,-67,0.21,-37,0.46,0,0.54,-97,,,
105,0.4,-60,0.6,-82,0.47,-31,0.53,-90,,,
106,0.21,-60,0.79,-16,0.45,-6,0.55,-51,,,
107,0.48,-15,0.52,-91,0.28,-48,0.72,-74,,,
108,0.04,-15,0.96,-60,0.88,-34,0.12,-77,,,
109,0.99,-24,0.01,-13,0.44,-15,0.56,-62,,,
110,0.39,-35,0.61,-72,0.76,-57,0.24,-28,,,
111,0.76,-33,0.24,-53,0.52,-18,0.48,-60,,,
112,0.43,-55,0.57,-53,0.08,-77,0.92,-51,,,
113,0.75,-100,0.25,-84,0.95,-85,0.05,-29,,,
114,0.53,-93,0.47,-26,0.8,-52,0.2,-93,,,
115,0.59,-55,0.41,-77,0.47,-30,0.53,-61,,,
116,0.66,-58,0.34,-68,0.68,-67,0.32,-49,,,
117,0.86,-29,0.14,-30,0.26,-17,0.74,-43,,,
118,0.32,-83,0.68,-19,0.15,-15,0.85,-52,,,
119,0.56,-9,0.44,-56,0.64,-15,0.36,-80,,,
120,0.49,-66,0.51,-92,0.78,-97,0.22,-34,,,
121,0.85,-55,0.15,27,0.02,73,0.98,-88,,,
122,0.18,-19,0.82,73,0.94,58,0.06,-54,,,
123,1,-48,0,0,0.9,-71,0.1,87,,,
124,0.43,-47,0.57,63,0.02,-69,0.98,14,,,
125,0.48,58,0.52,-5,0.4,-40,0.6,96,,,
126,0.93,-28,0.07,79,0.63,-81,0.37,89,,,
127,0.43,-91,0.57,63,0.27,-83,0.73,24,,,
128,0.73,-38,0.27,40,0.54,-30,0.46,7,,,
129,0.94,-66,0.06,92,0.03,31,0.97,-49,,,
130,0.24,-88,0.76,79,0.01,-100,0.99,32,,,
131,0.86,-26,0.14,82,0.6,-39,0.4,31,,,
132,0.06,-82,0.94,54,0.91,38,0.09,-73,,,
133,0.05,56,0.95,-56,0.47,29,0.53,-80,,,
134,0.37,-8,0.63,52,0.87,23,0.13,-39,,,
135,0.07,-7,0.93,25,0.87,48,0.13,-10,,,
136,0.81,-42,0.19,16,0.47,27,0.53,-60,,,
137,0.73,-31,0.27,9,0.07,39,0.93,-27,,,
138,0.92,-73,0.08,96,0.11,16,0.89,-48,,,
139,0.75,72,0.25,-38,0.45,60,0.55,-8,,,
140,0.24,-25,0.76,36,0.48,-28,0.52,67,,,
141,0.79,-70,0.21,98,0.65,-85,0.35,93,,,
142,0.14,-92,0.86,76,0.94,99,0.06,-96,,,
143,0.14,93,0.86,-91,0.32,0,0.68,-76,,,
144,0.31,-44,0.69,26,0.38,84,0.62,-41,,,
145,0.74,56,0.26,-76,0.4,-31,0.6,92,,,
146,0.28,-59,0.72,96,0.04,-4,0.96,63,,,
147,0.96,17,0.04,-48,0.49,-60,0.51,84,,,
148,0.43,-97,0.57,59,0.85,-28,0.15,83,,,
149,0.38,-49,0.62,2,0.22,19,0.78,-18,,,
150,0.39,76,0.61,-7,0.06,-65,0.94,37,,,
151,0.44,71,0.56,-95,0.63,-31,0.37,4,,,
152,0.97,31,0.03,-20,0.36,-54,0.64,99,,,
153,0.97,-51,0.03,30,0.68,-89,0.32,46,,,
154,0.95,-33,0.05,19,0.26,14,0.74,-75,,,
155,0.5,98,0.5,-24,0.14,-76,0.86,46,,,
156,0.39,-70,0.61,19,0.3,8,0.7,-37,,,
157,0,0,1,-55,0.79,-64,0.21,23,,,
158,0.87,-78,0.13,45,0.88,-69,0.12,83,,,
159,0.86,-39,0.14,83,0.8,8,0.2,-88,,,
160,0.07,-55,0.93,95,0.48,-13,0.52,99,,,
161,0.39,10,0.61,-72,0.64,-72,0.36,32,,,
162,0.55,89,0.45,-52,0.76,86,0.24,-75,,,
163,0.7,55,0.3,-76,0.08,-56,0.92,26,,,
164,0.27,25,0.73,-61,0.34,-82,0.66,3,,,
165,0.56,85,0.44,-22,0.22,-70,0.78,66,,,
166,0.58,-44,0.42,43,0.83,1,0.17,-70,,,
167,0.4,-1,0.6,13,0.59,44,0.41,-50,,,
168,0.88,-90,0.12,88,0.8,-86,0.2,14,,,
169,0.91,-33,0.09,28,0.27,9,0.73,-67,,,
170,0.89,-31,0.11,27,0.36,26,0.64,-48,,,
171,0.3,98,0.7,-70,0.48,51,0.52,-99,,,
172,0.59,-100,0.41,81,0.47,-73,0.53,15,,,
173,0.45,-55,0.55,72,0.59,37,0.41,-34,,,
174,0.61,96,0.39,-67,0.5,71,0.5,-26,,,
175,0.99,67,0.01,-3,0.68,74,0.32,-2,,,
176,0.74,77,0.26,-23,0.67,75,0.33,-7,,,
177,0.13,-13,0.87,27,0.34,-18,0.66,70,,,
178,0.93,75,0.07,-90,0.87,96,0.13,-89,,,
179,0.27,1,0.73,-85,0.18,26,0.82,-51,,,
180,0.73,85,0.27,-22,0.25,-100,0.75,76,,,
